Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_NETower_100_SQ-110,TRF_NETower_300_SQ-110,TRF_NETower_700_SQ-110,TRF_NETower_1300_SQ-110,TRF_NETower_2000_SQ-110
2019/08/28 16:45,14.755,17.71,23.725,41,23.84,
2019/08/28 17:00,10.329999999999998,13.85,20.43,37.685,22.705000000000002,
2019/08/28 17:15,10.215,12.715,19.525,38.595,20.659999999999997,
2019/08/28 17:30,11.805000000000001,14.305000000000001,21.909999999999997,104.9,23.95,
2019/08/28 17:45,9.76,12.940000000000001,18.615,92.5,25.425,
2019/08/28 18:00,7.945,10.215,15.665,46.449999999999996,39.845,
2019/08/28 18:15,6.8100000000000005,7.039999999999999,10.555000000000001,23.384999999999998,22.93,
2019/08/28 18:30,2.725,3.4050000000000002,4.2,7.039999999999999,8.4,
2019/08/28 18:45,0,0,0,2.155,2.27,
2019/08/28 19:00,0,0,0,0,0,
2019/08/28 19:15,0,0,0,0,0,
2019/08/28 19:30,0,0,0,0,0,
2019/08/28 19:45,0,0,0,0,0,
2019/08/28 20:00,0,0,0,0,0,
2019/08/28 20:15,0,0,0,0,0,
2019/08/28 20:30,0,0,0,0,0,
2019/08/28 20:45,0,0,0,0,0,
2019/08/28 21:00,0,0,0,0,0,
2019/08/28 21:15,0,0,0,0,0,
2019/08/28 21:30,0,0,0,0,0,
2019/08/28 21:45,0,0,0,0,0,
2019/08/28 22:00,0,0,0,0,0,
2019/08/28 22:15,0,0,0,0,0,
2019/08/28 22:30,0,0,0,0,0,
2019/08/28 22:45,0,0,0,0,0,
2019/08/28 23:00,0,0,0,0,0,
2019/08/28 23:15,0,0,0,0,0,
2019/08/28 23:30,0,0,0,0,0,
2019/08/28 23:45,0,0,0,0,0,
2019/08/29 00:00,0,0,0,0,0,
2019/08/29 00:15,0,0,0,0,0,
2019/08/29 00:30,0,0,0,0,0,
2019/08/29 00:45,0,0,0,0,0,
2019/08/29 01:00,0,0,0,0,0,
2019/08/29 01:15,0,0,0,0,0,
2019/08/29 01:30,0,0,0,0,0,
2019/08/29 01:45,0,0,0,0,0,
2019/08/29 02:00,0,0,0,0,0,
2019/08/29 02:15,0,0,0,0,0,
2019/08/29 02:30,0,0,0,0,0,
2019/08/29 02:45,0,0,0,0,0,
2019/08/29 03:00,0,0,0,0,0,
2019/08/29 03:15,0,0,0,0,0,
2019/08/29 03:30,0,0,0,0,0,
2019/08/29 03:45,0,0,0,0,0,
2019/08/29 04:00,0,0,0,0,0,
2019/08/29 04:15,0,0,0,0,0,
2019/08/29 04:30,0,0,0,0,0,
2019/08/29 04:45,0,0,0,0,0,
2019/08/29 05:00,0,0,0,0,0,
2019/08/29 05:15,0,0,0,0,0,
2019/08/29 05:30,0,0,0,0,0,
2019/08/29 05:45,0,0,0,0,0,
2019/08/29 06:00,0,0,0,0.34,1.36,
2019/08/29 06:15,0,0.795,2.155,3.4050000000000002,6.3549999999999995,
2019/08/29 06:30,3.065,3.4050000000000002,3.4050000000000002,6.695,14.530000000000001,
2019/08/29 06:45,3.4050000000000002,3.4050000000000002,4.77,9.31,27.014999999999997,
2019/08/29 07:00,3.635,6.470000000000001,7.039999999999999,14.075,47.55,
2019/08/29 07:15,9.08,23.725,15.325,25.2,118.3,
2019/08/29 07:30,11.355,19.98,20.435,31.675,349.90000000000003,
2019/08/29 07:45,15.325,19.075,20.665,36.555,496,
2019/08/29 08:00,16.8,21.57,20.435,40.4,602,
2019/08/29 08:15,15.325,20.659999999999997,20.32,42.9,572,
2019/08/29 08:30,23.5,35.08,34.285000000000004,68.8,780.5,
2019/08/29 08:45,24.07,31.22,33.715,70.4,664.5,
2019/08/29 09:00,25.43,25.655,31.33,106.05000000000001,884.5,
2019/08/29 09:15,21.230000000000004,24.52,36.215,95.35,749.5,
2019/08/29 09:30,22.02,24.52,43.150000000000006,77.30000000000001,398.45,
2019/08/29 09:45,23.84,27.244999999999997,42,75.6,368.6,
2019/08/29 10:00,26.335,30.195,44.25,152.89999999999998,368.15,
2019/08/29 10:15,25.655,37.685,65.25,160.5,374.25,
2019/08/29 10:30,29.97,40.199999999999996,49.95,99.9,388.54999999999995,
2019/08/29 10:45,43.6,44.25,57.199999999999996,95.25,409.5,
2019/08/29 11:00,38.595,53.449999999999996,54.699999999999996,105.1,405,
2019/08/29 11:15,41.1,64.35,56.1,138.25,364.85,
2019/08/29 11:30,54.050000000000004,58.550000000000004,61.050000000000004,125.75,255.3,
2019/08/29 11:45,61.050000000000004,76.39999999999999,74.6,116.89999999999999,176.85,
2019/08/29 12:00,59.050000000000004,70.14999999999999,103.85,144.75,147.7,
2019/08/29 12:15,80.05000000000001,76.6,115.19999999999999,193.45,146.54999999999998,
2019/08/29 12:30,127.15,112.15,223.29999999999998,277.75,410.5,
2019/08/29 12:45,203.4,326.34999999999997,550,353.25,162.54999999999998,
2019/08/29 13:00,134.95,196.5,542.5,202.95000000000002,121.7,
2019/08/29 13:15,135.9,136.64999999999998,376.75,271.65,115.8,
2019/08/29 13:30,383.7,160.75,330.79999999999995,274.5,113.65,
2019/08/29 13:45,456,647.5,501,305.9,91.4,
2019/08/29 14:00,626.5,659,411.5,537,88.3,
2019/08/29 14:15,691,640,782,637.5,78.55000000000001,
2019/08/29 14:30,278.9,355.85,654.5,580.5,67.75,
2019/08/29 14:45,125.75,156.64999999999998,610.5,821,67.2,
